og_species,og_family,og_longevity,SE_long,Quality,Site,Lat,Lon,alt_m,Habitat,reference,Exotic,self_incom,Nectar,notes,longev_univisit,long_unv_SE,Duration,sources,mean_long_days,og_species_patch,sym_RS_scored
Pyrola rotundifolia,Ericaceae,NA,NA,NA,NA,57.21666667,NA,8,NA,"Knudsen, J.T. & Olesen, J.M. (1993). Buzz-Pollination and Patterns in Sexual Traits in North European Pyrolaceae. American Journal of Botany, 80, 900-913.",NA,Y,NA,NA,NA,NA,NA,songetal20223,11,Pyrola rotundifolia,NA
Qualea grandiflora,Vochysiaceae,NA,NA,NA,NA,-15.86666667,NA,1087.5,NA,"Oliveira, P. & Gibbs, P. (2000). Reproductive biology of woody plants in a cerrado community of Central Brazil. Flora, 195, 311-329.",NA,N,NA,NA,NA,NA,NA,songetal20223,2,Qualea grandiflora,NA
Qualea multiflora,Vochysiaceae,NA,NA,NA,NA,-15.86666667,NA,1087.5,NA,"Oliveira, P. & Gibbs, P. (2000). Reproductive biology of woody plants in a cerrado community of Central Brazil. Flora, 195, 311-329.",NA,N,NA,NA,NA,NA,NA,songetal20223,1,Qualea multiflora,NA
Qualea parviflora,Vochysiaceae,NA,NA,NA,NA,-15.86666667,NA,1087.5,NA,"Oliveira, P. & Gibbs, P. (2000). Reproductive biology of woody plants in a cerrado community of Central Brazil. Flora, 195, 311-329.",NA,N,NA,NA,NA,NA,NA,songetal20223,1,Qualea parviflora,NA
Randia itatiaiae,Rubiaceae,NA,NA,NA,NA,-22.4545,NA,700,NA,"Avila, R.d. & Freitas, L. (2011). Frequency of visits and efficiency of pollination by diurnal and nocturnal lepidopterans for the dioecious tree Randia itatiaiae (Rubiaceae). Australian Journal of Botany, 59, 176-184.",NA,N,NA,NA,NA,NA,NA,songetal20223,6,Randia itatiaiae,NA
Ranunculus acris,Ranunculaceae,NA,NA,NA,NA,60.61666667,NA,1500,NA,"Totland, Ö. (1994). Intraseasonal variation in pollination intensity and seed set in an alpine population of Ranunculus acris in southwestern Norway. Ecography, 17, 159-165.",NA,N,NA,NA,NA,NA,NA,songetal20223,9.7,Ranunculus acris,NA
Ranunculus acris,Ranunculaceae,NA,NA,NA,NA,60.61666667,NA,1500,NA,"Totland, ?. (1994). Intraseasonal variation in pollination intensity and seed set in an alpine population of Ranunculus acris in southwestern Norway. Ecography, 17, 159-165.",NA,N,NA,NA,NA,NA,NA,songetal20223,12.9,Ranunculus acris,NA
Ranunculus alpestris,Ranunculaceae,NA,NA,NA,NA,47.31305556,NA,2334,NA,"Steinacher, G. & Wagner, J. (2010). Flower longevity and duration of pistil receptivity in high mountain plants. Flora, 205, 376-387.",NA,NA,NA,NA,NA,NA,NA,songetal20223,5.9,Ranunculus alpestris,NA
Ranunculus brevifolius,Ranunculaceae,NA,NA,NA,NA,40.06666667,NA,2675,NA,"Makrodimos, N., Blionis, G.J., Krigas, N. & Vokou, D. (2008). Flower morphology, phenology and visitor patterns in an alpine community on Mt Olympos, Greece. Flora, 203, 449-468.",NA,NA,NA,NA,NA,NA,NA,songetal20223,5.1,Ranunculus brevifolius,NA
Ranunculus enysii,Ranunculaceae,NA,NA,NA,NA,-43.13333333,NA,1700,NA,"Primack, R.B. (1983). Insect pollination in the New Zealand mountain flora. New Zealand Journal of Botany, 21, 317-333.",NA,NA,NA,NA,NA,NA,NA,songetal20223,9.8,Ranunculus enysii,NA
Ranunculus glacialis,Ranunculaceae,NA,NA,NA,NA,46.98333333,NA,2880,NA,"Steinacher, G. & Wagner, J. (2010). Flower longevity and duration of pistil receptivity in high mountain plants. Flora, 205, 376-387.",NA,N,NA,NA,NA,NA,NA,songetal20223,12.9,Ranunculus glacialis,NA
Ranunculus sartorianus,Ranunculaceae,NA,NA,NA,NA,40.06666667,NA,2675,NA,"Makrodimos, N., Blionis, G.J., Krigas, N. & Vokou, D. (2008). Flower morphology, phenology and visitor patterns in an alpine community on Mt Olympos, Greece. Flora, 203, 449-468.",NA,NA,NA,NA,NA,NA,NA,songetal20223,6.2,Ranunculus sartorianus,NA
Ranunculus tanguticus,Ranunculaceae,NA,NA,NA,NA,34.91666667,NA,2900,NA,"Wang, Y., Liu, Z., Zhao, Z., Hou, M., Zhang, X. & Lü, W. (2018). Responses of floral longevity to pollination environments in 11 species from two alpine meadows. Biodiversity Science, 26, 510-518.",NA,Y,NA,NA,NA,NA,NA,songetal20223,8.2,Ranunculus tanguticus,NA
Ranunculus tanguticus,Ranunculaceae,NA,NA,NA,NA,35.96666667,NA,3600,NA,"Wang, Y., Liu, Z., Zhao, Z., Hou, M., Zhang, X. & Lü, W. (2018). Responses of floral longevity to pollination environments in 11 species from two alpine meadows. Biodiversity Science, 26, 510-518.",NA,Y,NA,NA,NA,NA,NA,songetal20223,8.9,Ranunculus tanguticus,NA
Rapanea guianensis,Primulaceae,NA,NA,NA,NA,-15.86666667,NA,1087.5,NA,"Oliveira, P. & Gibbs, P. (2000). Reproductive biology of woody plants in a cerrado community of Central Brazil. Flora, 195, 311-329.",NA,N,NA,NA,NA,NA,NA,songetal20223,2,Rapanea guianensis,NA
Razisea spicata,Acanthaceae,NA,NA,NA,NA,10.30944444,NA,1575,NA,"Stratton, D.A. (1989). Longevity of Individual Flowers in a Costa Rican Cloud Forest: Ecological Correlates and Phylogenetic Constraints. Biotropica, 21, 308-318.",NA,NA,NA,NA,NA,NA,NA,songetal20223,2.7,Razisea spicata,NA
Renealmia antillarum,Zingiberaceae,NA,NA,NA,NA,18.09694444,NA,NA,NA,"Astrid Kodric-Brown, J.H.B., Gregory S. Byers and David F. Gori (1984). Organization of a tropical island community of humming? birds and flowers. Ecology, 65, 1358-1368.",NA,N,NA,NA,NA,NA,NA,songetal20223,0.5,Renealmia antillarum,NA
Rhipsalis neves-armondii,Cactaceae,NA,NA,NA,NA,-22.52405,NA,1000,NA,"Martins, C. & Freitas, L. (2018). Functional specialization and phenotypic generalization in the pollination system of an epiphytic cactus. Acta Botanica Brasilica, 32, 359-366.",NA,N,NA,NA,NA,NA,NA,songetal20223,2,Rhipsalis neves-armondii,NA
Rhododendron calendulaceum,Ericaceae,NA,NA,NA,NA,37.36666667,NA,1160,NA,"Blair, A.C. & Wolfe, L.M. (2007). The association between floral longevity and pollen removal, pollen receipt, and fruit production in flame azalea (Rhododendron calendulaceum). Canadian Journal of Botany, 85, 414-419.",NA,Y,NA,NA,NA,NA,NA,songetal20223,9.7,Rhododendron calendulaceum,NA
Rhododendron championiae,Ericaceae,NA,NA,NA,NA,22.41083333,NA,500,NA,"Ng, S.-c. & Corlett, R.T. (2000). Comparative reproductive biology of the six species of Rhododendron (Ericaceae) in Hong Kong, South China. Canadian Journal of Botany, 78, 221-229.",NA,N,NA,NA,NA,NA,NA,songetal20223,2.8,Rhododendron championiae,NA
Rhododendron cyanocarpum,Ericaceae,NA,NA,NA,NA,25.86666667,NA,3200,NA,"Ma, Y.-P., Wu, Z.-K., Dong, K., Sun, W.-B. & Marczewski, T. (2015). Pollination biology of Rhododendron cyanocarpum (Ericaceae): An alpine species endemic to NW Yunnan, China. Journal of Systematics and Evolution, 53, 63-71.",NA,Y,NA,NA,NA,NA,NA,songetal20223,9,Rhododendron cyanocarpum,NA
Rhododendron farrerae,Ericaceae,NA,NA,NA,NA,22.41083333,NA,500,NA,"Ng, S.-c. & Corlett, R.T. (2000). Comparative reproductive biology of the six species of Rhododendron (Ericaceae) in Hong Kong, South China. Canadian Journal of Botany, 78, 221-229.",NA,Y,NA,NA,NA,NA,NA,songetal20223,3.3,Rhododendron farrerae,NA
Rhododendron ferrugineum,Ericaceae,NA,NA,NA,NA,45.41666667,NA,1850,NA,"Escaravage, N., Pornon, A., Doche, B. & Till-Bottraud, I. (1997). Breeding system in an alpine species: Rhododendron ferrugineum L. (Ericaceae) in the French northern Alps. Canadian Journal of Botany, 75, 736-743.",NA,Y,NA,NA,NA,NA,NA,songetal20223,10.4,Rhododendron ferrugineum,NA
Rhododendron ferrugineum,Ericaceae,NA,NA,NA,NA,45.41666667,NA,2100,NA,"Escaravage, N., Pornon, A., Doche, B. & Till-Bottraud, I. (1997). Breeding system in an alpine species: Rhododendron ferrugineum L. (Ericaceae) in the French northern Alps. Canadian Journal of Botany, 75, 736-743.",NA,Y,NA,NA,NA,NA,NA,songetal20223,10.4,Rhododendron ferrugineum,NA
Rhododendron fortunei,Ericaceae,NA,NA,NA,NA,29.25,NA,900,NA,"Bian, C.-m. & Jin, Z.-x. (2005). Studies on floral dynamic and breeding system of Rhododendron f ortunei. Guihaia, 25, 169-173.",NA,Y,NA,NA,NA,NA,NA,songetal20223,5.8,Rhododendron fortunei,NA
Rhododendron hongkongense,Ericaceae,NA,NA,NA,NA,22.41083333,NA,500,NA,"Ng, S.-c. & Corlett, R.T. (2000). Comparative reproductive biology of the six species of Rhododendron (Ericaceae) in Hong Kong, South China. Canadian Journal of Botany, 78, 221-229.",NA,Y,NA,NA,NA,NA,NA,songetal20223,4.9,Rhododendron hongkongense,NA
Rhododendron longipedicellatum,Ericaceae,NA,NA,NA,NA,23.25,NA,1312,NA,"Li, T., Liu, X., Li, Z., Ma, H., Wan, Y., Liu, X. et al. (2018). Study on Reproductive Biology of Rhododendron longipedicellatum: A Newly Discovered and Special Threatened Plant Surviving in Limestone Habitat in Southeast Yunnan, China. Frontiers in plant science, 9, 33-33.",NA,Y,NA,NA,NA,NA,NA,songetal20223,7.88,Rhododendron longipedicellatum,NA
Rhododendron maxiongensis,Ericaceae,NA,NA,NA,NA,25.38333333,NA,2400,NA,"Yi, C., Zheng, S., Liu, Q., Gu, K., Liu, G. & Zhang, J. (2018). Preliminary Study on the Breeding System and Crossbreeding of Rhododendron maxiongense (Ericaceae). Journal of Yunnan Agricultural University (Natural Science), 33, 99-105.",NA,Y,NA,NA,NA,NA,NA,songetal20223,6.5,Rhododendron maxiongensis,NA
Rhododendron moulmainense,Ericaceae,NA,NA,NA,NA,22.41083333,NA,500,NA,"Ng, S.-c. & Corlett, R.T. (2000). Comparative reproductive biology of the six species of Rhododendron (Ericaceae) in Hong Kong, South China. Canadian Journal of Botany, 78, 221-229.",NA,N,NA,NA,NA,NA,NA,songetal20223,2.8,Rhododendron moulmainense,NA
Rhododendron siderophyllum,Ericaceae,NA,NA,NA,NA,25.3475,NA,2255,NA,"Bai, T., Guan, W.-l., Jie, S., Xie, W.-j. & Li, S.-f. (2014). Flowering Characteristics and Breeding System of Rhododendron siderophyllum. Journal of West China Forestry Science, 43, 47-53.",NA,Y,NA,NA,NA,NA,NA,songetal20223,7.06,Rhododendron siderophyllum,NA
Rhododendron simiarum,Ericaceae,NA,NA,NA,NA,22.41083333,NA,500,NA,"Ng, S.-c. & Corlett, R.T. (2000). Comparative reproductive biology of the six species of Rhododendron (Ericaceae) in Hong Kong, South China. Canadian Journal of Botany, 78, 221-229.",NA,N,NA,NA,NA,NA,NA,songetal20223,6,Rhododendron simiarum,NA
Rhododendron simsii,Ericaceae,NA,NA,NA,NA,22.41083333,NA,500,NA,"Ng, S.-c. & Corlett, R.T. (2000). Comparative reproductive biology of the six species of Rhododendron (Ericaceae) in Hong Kong, South China. Canadian Journal of Botany, 78, 221-229.",NA,N,NA,NA,NA,NA,NA,songetal20223,5.2,Rhododendron simsii,NA
Rhododendron spiciferum,Ericaceae,NA,NA,NA,NA,25.17391667,NA,2166,NA,"Yan, L.-J., Burgess, K.S., Zheng, W., Tao, Z.-B., Li, D.-Z. & Gao, L.-M. (2019). Incomplete reproductive isolation between Rhododendron taxa enables hybrid formation and persistence. Journal of Integrative Plant Biology, 61, 433-448.",NA,Y,NA,NA,NA,NA,NA,songetal20223,8.2,Rhododendron spiciferum,NA
Rhododendron spinuliferum,Ericaceae,NA,NA,NA,NA,25.17391667,NA,2166,NA,"Yan, L.-J., Burgess, K.S., Zheng, W., Tao, Z.-B., Li, D.-Z. & Gao, L.-M. (2019). Incomplete reproductive isolation between Rhododendron taxa enables hybrid formation and persistence. Journal of Integrative Plant Biology, 61, 433-448.",NA,Y,NA,NA,NA,NA,NA,songetal20223,12.2,Rhododendron spinuliferum,NA
Rhododendron viscosum,Ericaceae,NA,NA,NA,NA,41.48333333,NA,29,NA,"Rathcke, B. (1988). Flowering Phenologies in a Shrub Community: Competition and Constraints. Journal of Ecology, 76, 975-994.",NA,Y,NA,NA,NA,NA,NA,songetal20223,4,Rhododendron viscosum,NA
Rhodomyrtus tomentosa,Myrtaceae,NA,NA,NA,NA,22.68333333,NA,48,NA,"Wei, M.-S., Chen, Z.-H., Ren, H. & Yin, Z.-Y. (2009). Reproductive ecology of Rhodomyrtus tomentosa (Myrtaceae). Nordic Journal of Botany, 27, 154-160.",NA,Y,NA,NA,NA,NA,NA,songetal20223,2.5,Rhodomyrtus tomentosa,NA
Rhodophiala rhodolirion,Amaryllidaceae,NA,NA,NA,NA,-33.33694444,NA,2300,NA,"Ladd, P.G. & Arroyo, M.T.K. (2009). Comparisons of breeding systems between two sympatric species, Nastanthus spathulatus (Calyceraceae) and Rhodophiala rhodolirion (Amaryllidaceae), in the high Andes of central Chile. Plant Species Biology, 24, 2-10.",NA,Y,NA,NA,NA,NA,NA,songetal20223,7.7,Rhodophiala rhodolirion,NA
Rhynchanthera serrulata,Melastomataceae,NA,NA,NA,NA,8.933333333,NA,74,NA,"Ramirez, N. & Brito, Y. (1992). Pollination biology in a palm swamp community in the Venezuelan Central Plains. Botanical Journal of the Linnean Society, 110, 277-302. Ramirez, N. & Brito, Y. (1990). Reproductive biology of a tropical palm swamp community in the venezuelan llanos, American Journal of Botany, 77: 1260-1271",NA,NA,NA,NA,NA,NA,NA,songetal20223,0.25,Rhynchanthera serrulata,NA
Rhynchanthus beesianus,Zingiberaceae,NA,NA,NA,NA,22.46666667,NA,1650,NA,"Gao, J.-Y., Yang, Z.-H., Ren, P.-Y. & Li, Q.-J. (2006). Reproductive Ecology of Rhynchanthus beesianus W. W. Smith (Zingiberaceae) in South Yunnan, China: A Ginger with Bird Pollination Syndrome. Journal of Integrative Plant Biology, 48, 1294-1299.",NA,Y,NA,NA,NA,NA,NA,songetal20223,3,Rhynchanthus beesianus,NA
Rhynchospora barbata,Cyperaceae,NA,NA,NA,NA,8.933333333,NA,74,NA,"Ramirez, N. & Brito, Y. (1992). Pollination biology in a palm swamp community in the Venezuelan Central Plains. Botanical Journal of the Linnean Society, 110, 277-302. Ramirez, N. & Brito, Y. (1990). Reproductive biology of a tropical palm swamp community in the venezuelan llanos, American Journal of Botany, 77: 1260-1271",NA,N,NA,NA,NA,NA,NA,songetal20223,1.25,Rhynchospora barbata,NA
Rhynchospora velutina,Cyperaceae,NA,NA,NA,NA,8.933333333,NA,74,NA,"Ramirez, N. & Brito, Y. (1992). Pollination biology in a palm swamp community in the Venezuelan Central Plains. Botanical Journal of the Linnean Society, 110, 277-302. Ramirez, N. & Brito, Y. (1990). Reproductive biology of a tropical palm swamp community in the venezuelan llanos, American Journal of Botany, 77: 1260-1271",NA,N,NA,NA,NA,NA,NA,songetal20223,1.25,Rhynchospora velutina,NA
Richardia grandiflora,Rubiaceae,NA,NA,NA,NA,-7.197777778,NA,27,NA,"Cruz, R.M. & Martins, C.F. (2015). Pollinators of Richardia grandiflora (Rubiaceae): an Important RuderalSpecies for Bees. Neotropical Entomology, 44, 21-29.",NA,N,NA,NA,NA,NA,NA,songetal20223,0.5,Richardia grandiflora,NA
Rinorea sylvatica,Violaceae,NA,NA,NA,NA,9.156364,NA,152,NA,"Augspurger, C.K. (1983). Phenology, Flowering Synchrony, and Fruit Set of Six Neotropical Shrubs. Biotropica, 15, 257-267.",NA,NA,NA,NA,NA,NA,NA,songetal20223,4,Rinorea sylvatica,NA
Rondeletia calycosa,Rubiaceae,NA,NA,NA,NA,10.30944444,NA,1575,NA,"Stratton, D.A. (1989). Longevity of Individual Flowers in a Costa Rican Cloud Forest: Ecological Correlates and Phylogenetic Constraints. Biotropica, 21, 308-318.",NA,NA,NA,NA,NA,NA,NA,songetal20223,2.6,Rondeletia calycosa,NA
Rondeletia torresii,Rubiaceae,NA,NA,NA,NA,10.30944444,NA,1575,NA,"Stratton, D.A. (1989). Longevity of Individual Flowers in a Costa Rican Cloud Forest: Ecological Correlates and Phylogenetic Constraints. Biotropica, 21, 308-318.",NA,NA,NA,NA,NA,NA,NA,songetal20223,3,Rondeletia torresii,NA
Roscoea alpina,Zingiberaceae,NA,NA,NA,NA,27.68333333,NA,2716,NA,"Paudel, B.R., Shrestha, M., Dyer, A.G. & Li, Q.-J. (2017). Ginger and the beetle: Evidence of primitive pollination system in a Himalayan endemic alpine ginger (Roscoea alpina, Zingiberaceae). PloS One, 12, e0180460.",NA,Y,NA,NA,NA,NA,NA,songetal20223,3.1,Roscoea alpina,NA
Roscoea alpina,Zingiberaceae,NA,NA,NA,NA,28.4,NA,3206,NA,"Paudel, B.R., Shrestha, M., Dyer, A.G. & Li, Q.-J. (2017). Ginger and the beetle: Evidence of primitive pollination system in a Himalayan endemic alpine ginger (Roscoea alpina, Zingiberaceae). PloS One, 12, e0180460.",NA,Y,NA,NA,NA,NA,NA,songetal20223,2.95,Roscoea alpina,NA
Roscoea alpina,Zingiberaceae,NA,NA,NA,NA,28.63333333,NA,2527,NA,"Paudel, B.R., Shrestha, M., Dyer, A.G. & Li, Q.-J. (2017). Ginger and the beetle: Evidence of primitive pollination system in a Himalayan endemic alpine ginger (Roscoea alpina, Zingiberaceae). PloS One, 12, e0180460.",NA,Y,NA,NA,NA,NA,NA,songetal20223,3.4,Roscoea alpina,NA
Roscoea auriculata,Zingiberaceae,NA,NA,NA,NA,27.68688889,NA,2871,NA,"BABURAMPAUDEL, A.E., MANISHRESTHA, JIAN LI ZHAO, ANDQING-JUNLI (2019). Geographic isolation, pollination syndromes, and pollinator generalization in Himalayan Roscoea spp. (Zingiberaceae). Ecosphere, 10, e02943.",NA,Y,NA,NA,NA,NA,NA,songetal20223,4.15,Roscoea auriculata,NA
Roscoea capitata,Zingiberaceae,NA,NA,NA,NA,28.13036111,NA,1887,NA,"BABURAMPAUDEL, A.E., MANISHRESTHA, JIAN LI ZHAO, ANDQING-JUNLI (2019). Geographic isolation, pollination syndromes, and pollinator generalization in Himalayan Roscoea spp. (Zingiberaceae). Ecosphere, 10, e02943.",NA,Y,NA,NA,NA,NA,NA,songetal20223,4.65,Roscoea capitata,NA
Roscoea cautleoides,Zingiberaceae,NA,NA,NA,NA,27.08333333,NA,3120,NA,"Zhang, Z. Q., et al. (2011). ""Reproductive biology of two Himalayan alpine gingers (Roscoea spp., Zingiberaceae) in China: pollination syndrome and compensatory floral mechanisms."" Plant Biology 13(4): 582-589.",NA,Y,NA,NA,NA,NA,NA,songetal20223,7.7,Roscoea cautleoides,NA
Roscoea debilis,Zingiberaceae,NA,NA,NA,NA,23.58333333,NA,1890,NA,"Fan, Y.-L. & Li, Q.-J. (2012). Stigmatic fluid aids self-pollination in Roscoea debilis (Zingiberaceae): a new delayed selfing mechanism. Annals of botany, 110, 969-975.",NA,Y,NA,NA,NA,NA,NA,songetal20223,3,Roscoea debilis,NA
Roscoea humeana,Zingiberaceae,NA,NA,NA,NA,27.08333333,NA,3120,NA,"Zhang, Z. Q., et al. (2011). ""Reproductive biology of two Himalayan alpine gingers (Roscoea spp., Zingiberaceae) in China: pollination syndrome and compensatory floral mechanisms."" Plant Biology 13(4): 582-589.",NA,Y,NA,NA,NA,NA,NA,songetal20223,5.9,Roscoea humeana,NA
Roscoea purpurea,Zingiberaceae,NA,NA,NA,NA,27.60991667,NA,2319,NA,"Paudel, B.R., Shrestha, M., Dyer, A.G., Zhu, X.-F., Abdusalam, A. & Li, Q.-J. (2015). Out of Africa: evidence of the obligate mutualism between long corolla tubed plant and long-tongued fly in the Himalayas. Ecology and Evolution, 5, 5240-5251.",NA,Y,NA,NA,NA,NA,NA,songetal20223,5.1,Roscoea purpurea,NA
Roscoea purpurea,Zingiberaceae,NA,NA,NA,NA,27.68638889,NA,2453,NA,"Paudel, B.R., Shrestha, M., Dyer, A.G., Zhu, X.-F., Abdusalam, A. & Li, Q.-J. (2015). Out of Africa: evidence of the obligate mutualism between long corolla tubed plant and long-tongued fly in the Himalayas. Ecology and Evolution, 5, 5240-5251.",NA,Y,NA,NA,NA,NA,NA,songetal20223,4.95,Roscoea purpurea,NA
Roscoea schneideriana,Zingiberaceae,NA,NA,NA,NA,27.08333333,NA,3120,NA,"Zhang, Z.-Q. and Q.-J. Li (2008). ""Autonomous selfing provides reproductive assurance in an alpine ginger Roscoea schneideriana (Zingiberaceae)."" Annals of Botany 102(4): 531-538.",NA,Y,NA,NA,NA,NA,NA,songetal20223,4,Roscoea schneideriana,NA
Roscoea tumjensis,Zingiberaceae,NA,NA,NA,NA,27.60911111,NA,2334,NA,"BABURAMPAUDEL, A.E., MANISHRESTHA, JIAN LI ZHAO, ANDQING-JUNLI (2019). Geographic isolation, pollination syndromes, and pollinator generalization in Himalayan Roscoea spp. (Zingiberaceae). Ecosphere, 10, e02943.",NA,Y,NA,NA,NA,NA,NA,songetal20223,4.2,Roscoea tumjensis,NA
Ruellia coccinea,Acanthaceae,NA,NA,NA,NA,18.09694444,NA,NA,NA,"Astrid Kodric-Brown, J.H.B., Gregory S. Byers and David F. Gori (1984). Organization of a tropical island community of humming? birds and flowers. Ecology, 65, 1358-1368.",NA,N,NA,NA,NA,NA,NA,songetal20223,0.5,Ruellia coccinea,NA
Sagittaria guayanensis,Alismataceae,NA,NA,NA,NA,8.933333333,NA,74,NA,"Ramirez, N. & Brito, Y. (1992). Pollination biology in a palm swamp community in the Venezuelan Central Plains. Botanical Journal of the Linnean Society, 110, 277-302. Ramirez, N. & Brito, Y. (1990). Reproductive biology of a tropical palm swamp community in the venezuelan llanos, American Journal of Botany, 77: 1260-1271",NA,NA,NA,NA,NA,NA,NA,songetal20223,0.25,Sagittaria guayanensis,NA
Saintpaulia confusa,Gesneriaceae,NA,NA,NA,NA,-5.16,NA,950,NA,"Kolehmainen, J.K. & Mutikainen, P. (2006). Reproductive ecology of three endangered African violet (Saintpaulia H. Wendl.) species in the East Usambara Mountains, Tanzania. African Journal of Ecology, 44, 219-227.",NA,Y,NA,NA,NA,NA,NA,songetal20223,5,Saintpaulia confusa,NA
Salacia crassifolia,Celastraceae,NA,NA,NA,NA,-15.86666667,NA,1087.5,NA,"Oliveira, P. & Gibbs, P. (2000). Reproductive biology of woody plants in a cerrado community of Central Brazil. Flora, 195, 311-329.",NA,NA,NA,NA,NA,NA,NA,songetal20223,2,Salacia crassifolia,NA
Salvia elegans,Lamiaceae,NA,NA,NA,NA,19.64555556,NA,2960,NA,"Cuevas, E., Espino, J. & Marques, I. (2018). Reproductive isolation between Salvia elegans and S.?fulgens, two hummingbird-pollinated sympatric sages. Plant Biology, 20, 1075-1082.",NA,Y,NA,NA,NA,NA,NA,songetal20223,3.5,Salvia elegans,NA
Salvia fulgens,Lamiaceae,NA,NA,NA,NA,19.64555556,NA,2960,NA,"Cuevas, E., Espino, J. & Marques, I. (2018). Reproductive isolation between Salvia elegans and S.?fulgens, two hummingbird-pollinated sympatric sages. Plant Biology, 20, 1075-1082.",NA,Y,NA,NA,NA,NA,NA,songetal20223,3.5,Salvia fulgens,NA
Salvia gesneriflora,Lamiaceae,NA,NA,NA,NA,19.83333333,NA,2700,NA,"Cuevas, E. & Rosas-Guerrero, V. (2016). Spatio-temporal variation of nectar robbing in Salvia gesneriflora and its effects on nectar production and legitimate visitors. Plant Biology, 18, 9-14.",NA,Y,NA,NA,NA,NA,NA,songetal20223,4.3,Salvia gesneriflora,NA
Salvia przewalskii,Lamiaceae,NA,NA,NA,NA,27.90138889,NA,3325,NA,"Gao, J., Yingze, X. & Huang, S.-Q. (2015). Effects of floral sexual investment and dichogamy on floral longevity. Journal of Plant Ecology, 8, 116-121.",NA,NA,NA,NA,NA,NA,NA,songetal20223,2.24,Salvia przewalskii,NA
Salvia sclareoides,Lamiaceae,NA,NA,NA,NA,40.20314444,NA,75,NA,"Jorge, A., Loureiro, J. & Castro, S. (2015). Flower biology and breeding system of Salvia sclareoides Brot. (Lamiaceae). Plant Systematics and Evolution, 301, 1485-1497.",NA,Y,NA,NA,NA,NA,NA,songetal20223,2.94,Salvia sclareoides,NA
Salvia sellowiana,Lamiaceae,NA,NA,NA,NA,-22.4545,NA,1000,NA,"Aximoff, I.A. & Freitas, L. (2010). Is pollen removal or seed set favoured by flower longevity in a hummingbird-pollinated Salvia species? Annals of Botany, 106, 413-419.",NA,Y,NA,NA,NA,NA,NA,songetal20223,4,Salvia sellowiana,NA
Salvia tiliaefolia,Lamiaceae,NA,NA,NA,NA,10.30944444,NA,1575,NA,"Stratton, D.A. (1989). Longevity of Individual Flowers in a Costa Rican Cloud Forest: Ecological Correlates and Phylogenetic Constraints. Biotropica, 21, 308-318.",NA,NA,NA,NA,NA,NA,NA,songetal20223,1,Salvia tiliaefolia,NA
Salvia verbenaca,Lamiaceae,NA,NA,NA,NA,42.46111111,NA,669,NA,"Navarro, L. (1997). Is the dichogamy of Salvia verbenaca (Lamiaceae) an effective barrier to self-fertilization? Plant Systematics and Evolution, 207, 111-117.",NA,Y,NA,NA,NA,NA,NA,songetal20223,2.9,Salvia verbenaca,NA
Sarcocapnos pulcherrima,Papaveraceae,NA,NA,NA,NA,37.35,NA,1000,NA,"Salinas, M. & Suárez, V. (2003). Reproductive biology of Sarcocapnos pulcherrima Morales & Romero (Fumariaceae), a threatened species. Acta botanica gallica, 150, 137-146. Morales, C. & Romero García, A.T. 1991. A new species of the genus Sarcocapnos (Fumariaceae) from eastern Andalusia (Spain). Plant Systematics and Evolution, 177, 1–10",NA,Y,NA,NA,NA,NA,NA,songetal20223,13.3,Sarcocapnos pulcherrima,NA
Sargentodoxa cuneata_female,Lardizabalaceae,NA,NA,NA,NA,29.13675,NA,997,NA,"Wang, H.-f., Qin, H.-n., Zhou, Q.-y. & Guo, C. (2007). Reproductive Biology of Sargentodoxa cuneata (Sargentodoxaceae). Acta Botanica Boreali-Occidentalia Sinica, 27, 1980-1986.",NA,NA,NA,_female,NA,NA,NA,songetal20223,2.5,Sargentodoxa cuneata,NA
Sargentodoxa cuneata_male,Lardizabalaceae,NA,NA,NA,NA,29.13675,NA,997,NA,"Wang, H.-f., Qin, H.-n., Zhou, Q.-y. & Guo, C. (2007). Reproductive Biology of Sargentodoxa cuneata (Sargentodoxaceae). Acta Botanica Boreali-Occidentalia Sinica, 27, 1980-1986.",NA,NA,NA,_male,NA,NA,NA,songetal20223,8.75,Sargentodoxa cuneata,NA
Satyria warszewiczii,Ericaceae,NA,NA,NA,NA,10.30944444,NA,1575,NA,"Stratton, D.A. (1989). Longevity of Individual Flowers in a Costa Rican Cloud Forest: Ecological Correlates and Phylogenetic Constraints. Biotropica, 21, 308-318.",NA,Y,NA,NA,NA,NA,NA,songetal20223,1.3,Satyria warszewiczii,NA
Satyria warszewiczii,Ericaceae,NA,NA,NA,NA,9.566666667,NA,2572.5,NA,"Wesselingh, R.A., Witteveldt, M., Morissette, J. & den Nijs, H.C.M. (1999). Reproductive ecology of understory species in a tropical montane forest in Costa Rica. Biotropica, 31, 637-645.",NA,Y,NA,NA,NA,NA,NA,songetal20223,3.3,Satyria warszewiczii,NA
Saurauia montana,Actinidiaceae,NA,NA,NA,NA,10.30944444,NA,1575,NA,"Stratton, D.A. (1989). Longevity of Individual Flowers in a Costa Rican Cloud Forest: Ecological Correlates and Phylogenetic Constraints. Biotropica, 21, 308-318.",NA,NA,NA,NA,NA,NA,NA,songetal20223,2.9,Saurauia montana,NA
